country_id	country_name	country_name_url_encoded	city_id	city_name	city_name_url_encoded	city_url_full	city_url	country_url_full	country_url	city_name_to_lower	country_name_to_lower	country_code	name	asciiname	admin1_code	admin2_code	population	lat	lng
1	Afghanistan	Afghanistan	1	Anar Darreh	Anar%20Darreh	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Afghanistan&city=Anar%20Darreh	city_result.jsp?country=Afghanistan&city=Anar%20Darreh	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Afghanistan	country_result.jsp?country=Afghanistan	anar darreh	afghanistan	AF	NA	NA	NA	NA	NA	NA	NA
1	Afghanistan	Afghanistan	2	Gardez	Gardez	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Afghanistan&city=Gardez	city_result.jsp?country=Afghanistan&city=Gardez	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Afghanistan	country_result.jsp?country=Afghanistan	gardez	afghanistan	AF	Gardez	Gardez	36	701	103601	33.59744	69.22592
1	Afghanistan	Afghanistan	3	Herat	Herat	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Afghanistan&city=Herat	city_result.jsp?country=Afghanistan&city=Herat	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Afghanistan	country_result.jsp?country=Afghanistan	herat	afghanistan	AF	Herat	Herat	11	2001	272806	34.34817	62.19967
1	Afghanistan	Afghanistan	4	Jalalabad	Jalalabad	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Afghanistan&city=Jalalabad	city_result.jsp?country=Afghanistan&city=Jalalabad	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Afghanistan	country_result.jsp?country=Afghanistan	jalalabad	afghanistan	AF	Jalalabad	Jalalabad	18	801	200331	34.42647	70.45153
1	Afghanistan	Afghanistan	5	Kabul	Kabul	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Afghanistan&city=Kabul	city_result.jsp?country=Afghanistan&city=Kabul	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Afghanistan	country_result.jsp?country=Afghanistan	kabul	afghanistan	AF	Kabul	Kabul	13	101	3043532	34.52813	69.17233
1	Afghanistan	Afghanistan	6	Mazar-i-Sharif	Mazar-i-Sharif	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Afghanistan&city=Mazar-i-Sharif	city_result.jsp?country=Afghanistan&city=Mazar-i-Sharif	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Afghanistan	country_result.jsp?country=Afghanistan	mazar-i-sharif	afghanistan	AF	NA	NA	NA	NA	NA	NA	NA
1	Afghanistan	Afghanistan	7	Shibarghan	Shibarghan	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Afghanistan&city=Shibarghan	city_result.jsp?country=Afghanistan&city=Shibarghan	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Afghanistan	country_result.jsp?country=Afghanistan	shibarghan	afghanistan	AF	NA	NA	NA	NA	NA	NA	NA
1	Afghanistan	Afghanistan	8	Uruzgan	Uruzgan	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Afghanistan&city=Uruzgan	city_result.jsp?country=Afghanistan&city=Uruzgan	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Afghanistan	country_result.jsp?country=Afghanistan	uruzgan	afghanistan	AF	Uruzgan	Uruzgan	39	2603	13388	32.92775	66.63253
2	Aland Islands	Aland%20Islands	9	Inter	Inter	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Aland%20Islands&city=Inter	city_result.jsp?country=Aland%20Islands&city=Inter	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Aland%20Islands	country_result.jsp?country=Aland%20Islands	inter	aland islands	AX	NA	NA	NA	NA	NA	NA	NA
2	Aland Islands	Aland%20Islands	10	Mariehamn	Mariehamn	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Aland%20Islands&city=Mariehamn	city_result.jsp?country=Aland%20Islands&city=Mariehamn	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Aland%20Islands	country_result.jsp?country=Aland%20Islands	mariehamn	aland islands	AX	Mariehamn	Mariehamn	211	478	10682	60.09726	19.93481
