country_id	country_name	country_name_url_encoded	country_url_full	country_url_part
1	Afghanistan	Afghanistan	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Afghanistan	country_result.jsp?country=Afghanistan
2	Aland Islands	Aland%20Islands	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Aland%20Islands	country_result.jsp?country=Aland%20Islands
3	Albania	Albania	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Albania	country_result.jsp?country=Albania
4	Alderney	Alderney	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Alderney	country_result.jsp?country=Alderney
5	Algeria	Algeria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria
6	American Samoa	American%20Samoa	https://www.numbeo.com/cost-of-living/country_result.jsp?country=American%20Samoa	country_result.jsp?country=American%20Samoa
7	Andorra	Andorra	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Andorra	country_result.jsp?country=Andorra
8	Angola	Angola	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Angola	country_result.jsp?country=Angola
9	Anguilla	Anguilla	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Anguilla	country_result.jsp?country=Anguilla
10	Antigua And Barbuda	Antigua%20And%20Barbuda	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Antigua%20And%20Barbuda	country_result.jsp?country=Antigua%20And%20Barbuda
11	Argentina	Argentina	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Argentina	country_result.jsp?country=Argentina
12	Armenia	Armenia	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Armenia	country_result.jsp?country=Armenia
13	Aruba	Aruba	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Aruba	country_result.jsp?country=Aruba
14	Australia	Australia	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Australia	country_result.jsp?country=Australia
15	Austria	Austria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Austria	country_result.jsp?country=Austria
16	Azerbaijan	Azerbaijan	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Azerbaijan	country_result.jsp?country=Azerbaijan
17	Bahamas	Bahamas	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Bahamas	country_result.jsp?country=Bahamas
18	Bahrain	Bahrain	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Bahrain	country_result.jsp?country=Bahrain
19	Bangladesh	Bangladesh	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Bangladesh	country_result.jsp?country=Bangladesh
20	Barbados	Barbados	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Barbados	country_result.jsp?country=Barbados
21	Belarus	Belarus	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Belarus	country_result.jsp?country=Belarus
22	Belgium	Belgium	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Belgium	country_result.jsp?country=Belgium
